RANK2013;RANK2012;INSTITUTION;COUNTRY;SIZE;FOCUS;RESEARCH;AGE;STATUS;AR SCORE;AR RANK;ER SCORE;ER RANK;FS SCORE;FS RANK;CPF SCORE;CPF RANK;IF SCORE;IF RANK;IS SCORE;IS RANK;OVERALL SCORE
  338=;300;STONY BROOK UNIVERSITY;US;L;FC;VH;4;A;25,3;401+;10,4;401+;47,6;331;63,1;159;31,7;352;54,9;234;37,8
  338=;321;UNIVERSITY OF ESSEX;GB;L;CO;HI;3;A;37,2;341;30,4;401+;26,2;401+;23,5;401+;98;45;98,6;28;37,8
  338=;398;UNIVERSITY OF WARSAW ;PL;XL;CO;VH;5;A;53,4;203;57,6;227;38,5;401+;9,7;401+;9,5;401+;7,8;401+;37,8
  341=;368;GRIFFITH UNIVERSITY;AU;L;FC;HI;3;A;34,8;362;54,1;255;27,5;401+;18,9;401+;92,6;86;87;98;37,7
  341=;293;UNIVERSITY OF SOUTH AUSTRALIA (UNISA);AU;L;CO;VH;2;A;33;389;52,6;265;37,1;401+;16;401+;100;6;70,4;170;37,7
  343=;308;MASSEY UNIVERSITY;NZ;L;CO;VH;4;A;36,5;348;49,2;301;33,3;401+;21,6;401+;93;83;41;323;37,3
  343=;  401-450  ;UNIVERSITY OF PORTO;PT;XL;FC;VH;5;A;50,1;222;41,1;373;25,8;401+;33,8;362;10,5;401+;10,9;401+;37,3
345;350;UNIVERSITAT POLITÈCNICA DE CATALUNYA ;ES;L;CO;VH;3;A;38,1;333;32;401+;65,6;186;14,4;401+;14,2;401+;37,6;347;37,2
346;349;INDIAN INSTITUTE OF TECHNOLOGY KHARAGPUR (IITKGP);IN;M;FO;VH;4;A;36;352;59;217;26;401+;57;205;;;1;401+;37,1
347;  327=;CITY UNIVERSITY LONDON;GB;L;CO;HI;5;A;33,3;379;64;182;23,7;401+;15,1;401+;87,8;111;99,7;20;37
348;392;AMERICAN UNIVERSITY IN CAIRO;EG;M;CO;HI;4;B;33,3;380;69,5;145;54,5;260;3,5;401+;97,4;51;;;36,9
  349=;  324=;DUBLIN CITY UNIVERSITY (DCU);IE;M;CO;VH;2;A;25,4;401+;54,5;251;44,7;365;23,7;401+;86,9;120;61;204;36,8
  349=;  401-450  ;PONTIFICIA UNIVERSIDAD JAVERIANA;CO;L;FC;MD;5;B;49,7;224;67,3;159;45;361;2,1;401+;8,2;401+;4,1;401+;36,8
351;362;JAMES COOK UNIVERSITY (JCU);AU;M;FC;VH;3;A;22;401+;32,5;401+;36,3;401+;49,7;247;93,6;79;48;277;36,5
352;371;NOVOSIBIRSK STATE UNIVERSITY;RU;M;FC;HI;4;A;32,7;395;24,8;401+;87,3;98;5,2;401+;4,9;401+;35,3;366;36,2
  353=;296;RENSSELAER POLYTECHNIC INSTITUTE;US;M;CO;VH;5;B;17,3;401+;21,5;401+;41,4;399;81,2;81;8,4;401+;40,1;331;36,1
  353=;  401-450  ;UNIVERSIDADE NOVA DE LISBOA;PT;L;FC;HI;3;A;35,2;359;51,7;272;44,6;368;19;401+;46,8;271;34;376;36,1
  355=;-;UNIVERSITÉ AIX-MARSEILLE;FR;XL;FC;VH;5;A;48,1;238;28,2;401+;27,9;401+;27,3;401+;7,7;401+;47,5;280;36
  355=;326;UNIVERSITI SAINS MALAYSIA (USM);MY;L;FC;VH;4;A;48,1;239;42,6;360;33,8;401+;13,2;401+;20,3;401+;39,3;337;36
  355=;358;UNIVERSITI TEKNOLOGI MALAYSIA (UTM);MY;L;CO;VH;5;A;32,2;401+;40,6;380;62,2;203;3,2;401+;37,1;326;79,6;125;36
  358=;344;UNIVERSITÉ PARIS DAUPHINE;FR;M;SP;MD;3;A;35;360;93,7;44;18,2;401+;6,9;401+;55,6;237;92,5;69;35,9
  358=;  385=;UNIVERSITY OF COIMBRA;PT;L;FC;HI;5;A;46,3;252;31,5;401+;19,8;401+;36,3;343;6,1;401+;51,2;257;35,9
  360=;331;BRUNEL UNIVERSITY;GB;L;CO;VH;3;A;24,4;401+;35,3;401+;28,5;401+;35,7;347;95,6;63;95,9;53;35,8
  360=;334;KING ABDUL AZIZ UNIVERSITY (KAU);SA;XL;FC;HI;3;A;38,2;331;29,2;401+;53,2;271;2,7;401+;77,3;165;48,7;273;35,8
362;341;EWHA WOMANS UNIVERSITY;KR;L;FC;HI;5;B;30,9;401+;43,7;348;59,5;227;16,9;401+;23,2;401+;45,7;291;35,6
  363=;  451-500  ;NANKAI UNIVERSITY;CN;L;FC;VH;4;A;37,3;338;41,2;371;46,5;345;28,4;401+;3,3;401+;24;401+;35,5
  363=;323;TAIPEI MEDICAL UNIVERSITY;TW;M;FO;VH;4;B;24,7;401+;32,3;401+;56,7;241;43,4;288;27,9;380;16;401+;35,5
  363=;376;UNIVERSITÄT JENA;DE;L;FC;VH;5;A;32,5;399;18,2;401+;40;401+;52,7;231;21,4;401+;18,3;401+;35,5
  366=;338;RUHR-UNIVERSITÄT BOCHUM;DE;XL;FC;VH;4;A;35,8;353;35,2;401+;33,1;401+;32,6;371;42,3;288;44,4;299;35,4
  366=;-;UNIVERSITY OF TEXAS DALLAS ;US;L;CO;VH;3;A;23;401+;26,1;401+;16,2;401+;79,3;86;15,6;401+;70,9;167;35,4
  366=;356;WASHINGTON STATE UNIVERSITY;US;L;FC;VH;5;A;36,8;345;20,8;401+;32,2;401+;37,2;334;72,3;182;19,7;401+;35,4
369;388;HERIOT-WATT UNIVERSITY;GB;M;CO;VH;3;A;19;401+;46;323;35,3;401+;30,7;392;96,5;55;99,3;23;35,3
  370=;  401-450  ;POLITECNICO DI TORINO;IT;L;FO;VH;5;A;42,9;272;68,6;147;9,5;401+;30,7;391;2,8;401+;57,8;215;35,2
  370=;  346=;UNIVERSITÄT BREMEN;DE;L;CO;VH;3;A;39,7;314;28,1;401+;47,9;325;20,3;401+;20,6;401+;35,1;368;35,2
372;361;XI'AN JIAOTONG UNIVERSITY;CN;L;FC;VH;5;A;27,6;401+;54,3;254;72,9;156;14,6;401+;9,7;401+;9,5;401+;35,1
373;  401-450  ;TILBURG UNIVERSITY;NL;M;FO;VH;4;A;33,5;376;58,6;220;21,9;401+;27,2;401+;83,3;137;28,4;401+;34,8
  374=;379;BIRKBECK COLLEGE, UNIVERSITY OF LONDON;GB;M;FO;VH;5;A;35,4;356;16,2;401+;17;401+;34,1;357;92,3;89;78,8;128;34,7
  374=;  401-450  ;OXFORD BROOKES UNIVERSITY;GB;L;CO;HI;5;A;36,5;349;62,9;187;23,2;401+;9,4;401+;60,5;221;83,7;110;34,7
  376=;  401-450  ;JAGIELLONIAN UNIVERSITY;PL;XL;CO;VH;5;A;42,5;278;49,5;296;48,3;319;10,4;401+;5,7;401+;9;401+;34,6
  376=;  401-450  ;UNIVERSITY OF KANSAS;US;L;FC;VH;5;A;23,5;401+;25,3;401+;66;182;34,4;355;23,3;401+;25,3;401+;34,6
  376=;395;UNIVERSITY OF TAMPERE;FI;M;CO;VH;4;A;28,8;401+;32,6;401+;62,2;202;27,7;401+;25,2;391;8,7;401+;34,6
379;  401-450  ;UNIVERSITÀ DEGLI STUDI DI FIRENZE (UNIFI);IT;XL;FC;VH;4;A;49,3;229;22,5;401+;24,2;401+;31;385;10,6;401+;17;401+;34,5
  380=;  401-450  ;DEAKIN UNIVERSITY;AU;XL;FC;HI;3;A;34,5;365;52,1;268;14,4;401+;21,7;401+;91,4;95;69,5;176;34,4
  380=;366;UNIVERSITY OF CONNECTICUT;US;L;FC;VH;5;A;22,3;401+;22,7;401+;27,3;401+;63,5;156;79;157;18,5;401+;34,4
  380=;348;UNIVERSITY OF THE PHILIPPINES;PH;XL;FC;MD;5;A;47,4;246;65;172;39,9;401+;3;401+;2,3;401+;2,5;401+;34,4
383;  401-450  ;UNIVERSIDAD POLITECNICA DE VALENCIA;ES;L;CO;VH;3;A;34,7;363;49,5;298;56;247;14,3;401+;7,5;401+;16;401+;34,2
384;  451-500  ;SUN YAT-SEN UNIVERSITY;CN;XL;FC;VH;4;A;42,6;277;40,2;388;29;401+;29,2;401+;13,5;401+;11,8;401+;34,1
385;378;UNIVERSITÉ MONTPELLIER 2, SCIENCES ET TECHNIQUES DU LANGUEDOC;FR;L;FO;VH;5;A;27,1;401+;19;401+;36,3;401+;54,8;220;16,2;401+;40,9;324;33,9
386;367;MOSCOW STATE INSTITUTE OF INTERNATIONAL RELATIONS (MGIMO-UNIVERSITY);RU;M;FO;LO;4;A;15,8;401+;46;324;98,7;38;1;401+;8,3;401+;48,7;271;33,8
  387=;  401-450  ;STELLENBOSCH UNIVERSITY;ZA;L;FC;HI;5;A;42,2;287;43;354;16,8;401+;32,4;372;27,8;381;22,8;401+;33,7
  387=;  309=;TULANE UNIVERSITY;US;M;FC;VH;5;B;17;401+;10,4;401+;67,9;174;49,4;249;16,3;401+;29;401+;33,7
389;  451-500  ;POLITÉCNICA DE MADRID;ES;L;SP;VH;3;A;32,7;396;58,4;224;51,1;290;7,7;401+;2,9;401+;52,9;241;33,6
  390=;-;INSTITUTO TECNOLÓGICO DE BUENOS AIRES (ITBA);AR;S;CO;MD;4;C;21,8;401+;42,8;356;98,1;41;1,4;401+;7,9;401+;2,3;401+;33,5
  390=;375;LA TROBE UNIVERSITY;AU;L;CO;VH;3;A;33,3;383;38,1;401+;24,9;401+;17;401+;80,9;152;77,2;134;33,5
  390=;351;UNIVERSITÉ PAUL SABATIER TOULOUSE III;FR;XL;CO;HI;5;A;43,7;268;;;43,7;378;23,7;401+;15,7;401+;33;379;33,5
  390=;  401-450  ;UNIVERSITY OF TENNESSEE;US;L;FC;VH;5;A;18;401+;29,7;401+;52;285;57,8;196;13,8;401+;11,1;401+;33,5
  394=;365;COLORADO STATE UNIVERSITY;US;L;CO;VH;5;A;26,1;401+;43,9;346;15,4;401+;68,5;121;23,8;398;10,5;401+;33,4
  394=;373;KARL-FRANZENS-UNIVERSITÄT GRAZ;AT;L;FO;VH;5;A;40,7;302;30,3;401+;19,4;401+;27,3;401+;61,4;219;30,3;401+;33,4
  394=;355;UNIVERSITÄT DÜSSELDORF;DE;L;FC;HI;3;A;22,6;401+;18;401+;48,4;317;52,5;235;5,9;401+;38,7;342;33,4
  397=;  451-500  ;NORTHEASTERN UNIVERSITY;US;L;CO;VH;5;B;21,5;401+;56,3;232;34,9;401+;36,5;342;12,5;401+;80,3;121;33,3
  397=;  451-500  ;UNIVERSITÀ DEGLI STUDI DI NAPOLI FEDERICO II;IT;XL;FC;VH;5;A;42,7;274;26,3;401+;8,6;401+;57,7;198;1,8;401+;2,1;401+;33,3
  399=;345;ASTON UNIVERSITY;GB;M;CO;VH;3;A;21,5;401+;46,7;315;26,4;401+;25,8;401+;93,8;77;93,1;68;33,2
  399=;  401-450  ;UNIVERSITÀ DEGLI STUDI DI TORINO (UNITO);IT;XL;FC;VH;5;A;41;301;27,4;401+;11,8;401+;52,6;232;4,8;401+;17,1;401+;33,2
401-410;-;BEIHANG UNIVERSITY;CN;L;CO;VH;4;A;-;-;-;-;83;121;10,9;401+;2,1;401+;6,1;401+;32,6
401-410;  401-450  ;INDIAN INSTITUTE OF TECHNOLOGY ROORKEE (IITR);IN;S;FO;VH;5;A;-;-;-;-;33,3;401+;54,5;221;;;;;33
401-410;  401-450  ;NATIONAL CENTRAL UNIVERSITY;TW;M;CO;VH;4;A;-;-;-;-;52;286;35;351;24,9;393;12,5;401+;33,1
401-410;  401-450  ;OREGON STATE UNIVERSITY;US;L;CO;VH;5;A;-;-;-;-;33,1;401+;52,2;236;49,7;258;30,4;398;32,6
401-410;391;SOGANG UNIVERSITY;KR;M;CO;VH;4;B;-;-;-;-;62,6;201;10,7;401+;18,7;401+;26,9;401+;32,7
401-410;372;UNIVERSITÄT REGENSBURG;DE;L;CO;VH;4;A;-;-;-;-;61,2;209;39,5;312;34,4;336;13,7;401+;33
401-410;  396=;UNIVERSITÉ LILLE 1, SCIENCES ET TECHNOLOGIE;FR;L;FO;VH;5;A;-;-;-;-;34,6;401+;21,8;401+;30,9;357;71,6;165;32,6
401-410;357;UNIVERSITY OF TASMANIA;AU;L;CO;VH;5;A;-;-;-;-;39,8;401+;28,3;401+;48,1;266;80,8;119;33,1
401-410;374;UNIVERSITY OF WAIKATO;NZ;M;CO;VH;3;A;-;-;-;-;24,8;401+;18,7;401+;96,8;53;79,1;126;32,7
401-410;  451-500  ;WUHAN UNIVERSITY;CN;XL;FC;VH;5;A;-;-;-;-;36,3;401+;14,3;401+;;;7;401+;32,6
401-410;  401-450  ;YORK UNIVERSITY;CA;XL;CO;HI;4;A;-;-;-;-;17,5;401+;18;401+;45;279;14,7;401+;32,6
411-420;  396=;NATIONAL TAIWAN UNIVERSITY OF SCIENCE AND TECHNOLOGY;TW;M;FO;VH;3;A;-;-;-;-;59,5;226;22,4;401+;22,4;401+;23,9;401+;32,5
411-420;387;THE UNIVERSITY OF GEORGIA;US;XL;FC;VH;5;A;-;-;-;-;27,3;401+;51,4;241;2,1;401+;9,6;401+;32,2
411-420;  401-450  ;UNIVERSIDADE FEDERAL DE SÃO PAULO (UNIFESP);BR;M;FC;VH;4;A;-;-;-;-;65;188;36,8;340;11,5;401+;2,4;401+;32
411-420;  401-450  ;UNIVERSITÀ DEGLI STUDI DI PAVIA (UNIPV);IT;L;FC;HI;5;A;-;-;-;-;15,8;401+;55,5;213;5,3;401+;14,5;401+;32,1
411-420;399;UNIVERSITÄT BAYREUTH;DE;M;CO;VH;3;A;-;-;-;-;54,7;257;26,9;401+;38,9;314;20,9;401+;32
411-420;  346=;UNIVERSITÉ CLAUDE BERNARD LYON 1;FR;XL;FC;HI;5;A;-;-;-;-;23,2;401+;42,1;300;10,4;401+;30,5;397;32,4
411-420;  401-450  ;UNIVERSITÉ DU QUÉBEC;CA;XL;FC;HI;3;A;-;-;-;-;30,5;401+;12,3;401+;16,2;401+;28,5;401+;32,2
411-420;360;UNIVERSITI PUTRA MALAYSIA (UPM);MY;L;FC;VH;3;A;-;-;-;-;44;374;6,1;401+;13,1;401+;39,4;336;32
411-420;383;UNIVERSITY OF KENT;GB;L;CO;HI;3;A;-;-;-;-;32,3;401+;14;401+;91,4;94;84,8;108;32,1
411-420;  393=;UNIVERSITY OF ST GALLEN (HSG);CH;M;SP;VH;5;A;-;-;-;-;13,9;401+;15,7;401+;100;26;94,9;58;32,3
421-430;380;BOND UNIVERSITY;AU;S;FC;HI;2;B;-;-;-;-;64,3;194;7,8;401+;85,7;121;95,1;56;31,8
421-430;  401-450  ;FLORIDA STATE UNIVERSITY;US;XL;FC;HI;5;A;-;-;-;-;18,3;401+;49;250;21,2;401+;10;401+;31,5
421-430;370;UNITED ARAB EMIRATES UNIVERSITY;AE;L;FC;MD;3;A;-;-;-;-;35,2;401+;11,4;401+;100;4;86,1;102;31,7
421-430;-;UNIVERSIDAD DE SAN ANDRÉS;AR;S;SP;LO;3;B;-;-;-;-;89;91;1,7;401+;12,6;401+;17,4;401+;31,9
421-430;  401-450  ;UNIVERSIDAD NACIONAL DE LA PLATA;AR;XL;FC;HI;5;A;-;-;-;-;27;401+;4,7;401+;;;4,4;401+;31,8
421-430;364;UNIVERSITÄT DES SAARLANDES;DE;L;FC;HI;4;A;-;-;-;-;35,6;401+;48,2;256;44,7;281;58,1;213;31,8
421-430;  385=;UNIVERSITY OF MISSOURI, COLUMBIA;US;L;FC;VH;5;A;-;-;-;-;46,6;343;34,9;352;48,6;265;13,8;401+;31,7
421-430;400;UNIVERSITY OF NEW MEXICO;US;L;FC;VH;5;A;-;-;-;-;56,3;244;42,9;295;2,7;401+;8,5;401+;31,8
421-430;  393=;UNIVERSITY OF SASKATCHEWAN;CA;L;FC;HI;5;A;-;-;-;-;45,9;351;32;375;39,6;307;46,8;283;31,7
431-440;  401-450  ;AMERICAN UNIVERSITY OF SHARJAH;AE;M;FC;MD;2;B;-;-;-;-;30,4;401+;8;401+;100;2;100;1;31,4
431-440;  401-450  ;BILKENT UNIVERSITY;TR;M;CO;VH;3;B;-;-;-;-;36;401+;15;401+;62,4;216;5,1;401+;31
